4.354000000000000000e+03,5.115000000000000000e+03
4.501000000000000000e+03,5.403000000000000000e+03
4.426000000000000000e+03,5.538000000000000000e+03
4.628000000000000000e+03,5.821000000000000000e+03
5.247000000000000000e+03,5.861000000000000000e+03
5.568000000000000000e+03,6.222000000000000000e+03
5.684000000000000000e+03,6.558000000000000000e+03
6.005000000000000000e+03,6.606000000000000000e+03
6.348000000000000000e+03,6.948000000000000000e+03
6.101000000000000000e+03,7.079000000000000000e+03
6.588000000000000000e+03,7.193000000000000000e+03
