4.354000000000000000e+03,4.354000000000000000e+03
4.426000000000000000e+03,4.426000000000000000e+03
4.501000000000000000e+03,4.501000000000000000e+03
4.628000000000000000e+03,4.628000000000000000e+03
4.803000000000000000e+03,4.803000000000000000e+03
4.958000000000000000e+03,4.958000000000000000e+03
5.082000000000000000e+03,5.082000000000000000e+03
5.247000000000000000e+03,5.247000000000000000e+03
5.369000000000000000e+03,5.369000000000000000e+03
5.568000000000000000e+03,5.568000000000000000e+03
5.684000000000000000e+03,5.684000000000000000e+03
5.783000000000000000e+03,5.783000000000000000e+03
6.005000000000000000e+03,6.005000000000000000e+03
6.101000000000000000e+03,6.101000000000000000e+03
6.208000000000000000e+03,6.208000000000000000e+03
6.348000000000000000e+03,6.348000000000000000e+03
6.455000000000000000e+03,6.455000000000000000e+03
6.588000000000000000e+03,6.588000000000000000e+03
6.770000000000000000e+03,6.770000000000000000e+03
6.880000000000000000e+03,6.880000000000000000e+03
7.018000000000000000e+03,7.018000000000000000e+03
7.174000000000000000e+03,7.174000000000000000e+03
